,Article Title,Article Date
9,"US STOCKS-S&P 500 rises on economic recovery and vaccine hopes, pulls back from highs",May 26 2020
0,Deals of the day-Mergers and acquisitions,May 26 2020
1,CANADA FX DEBT-C$ surges to 2-month high as economic reopening pressures bears,May 26 2020
2,China's Dada Nexus to kick off $500 mln U.S. IPO this week -sources,May 26 2020
3,EMERGING MARKETS-Latam bolstered by recovery hopes; Mexican peso at 10-week high,May 26 2020
4,TREASURIES-Yields rise on improving risk appetite,May 26 2020
5,"GLOBAL MARKETS-Stocks rally, S&P 500 crosses 3,000 barrier; oil gains",May 26 2020
6,"French carmaker Renault to cut 5,000 jobs by 2024 - Le Figaro",May 26 2020
7,UPDATE 4-Germany extends social distancing rules until June 29,May 26 2020
8,Fitch cuts Argentina after failure to pay interest on sovereign bonds,May 26 2020
9,U.S. business borrowing for equipment falls about 7% in April - ELFA,May 26 2020
0,UPDATE 3-CPPIB CEO has 'significant appetite' for fixed income; comfortable with energy exposure,May 26 2020
1,Blackstone risks paying damages in dispute with Italy's RCS,May 26 2020
2,"US STOCKS-S&P 500 clears 3,000 barrier on economic recovery and vaccine hopes",May 26 2020
3,"Texas banks call off merger, citing coronavirus impact",May 26 2020
4,"Russia consumer demand drops, jobless jump in April lockdown",May 26 2020
5,"UPDATE 1-Netherlands wants loans for EU recovery, Germany favours grants",May 26 2020
6,"REFILE-US STOCKS-S&P 500 clears 3,000 barrier on hopes of recovery, vaccine",May 26 2020
7,WRAPUP 2-U.S. consumer confidence stabilizes; new home sales surprise,May 26 2020
8,Germany extends coronavirus social distancing rules to June 29 -source,May 26 2020
9,Infineon to raise 1 bln euros with capital increase,May 26 2020
0,UPDATE 3-Britain to provide anti-viral drug remdesivir to some COVID-19 patients,May 26 2020
1,UPDATE 2-Travel firms propel European stocks to strongest close in 11 weeks,May 26 2020
2,UK's Hancock says Remdesivir may be biggest step forward in COVID-19 treatment yet,May 26 2020
3,"Netherlands wants loans for EU recovery, Germany favours grants",May 26 2020
4,LATAM airline shares plunge 51% following bankruptcy announcement,May 26 2020
5,REFILE-Hertz awards over $16 million in retention bonus to key executives,May 26 2020
6,"US STOCKS-S&P 500 tops 3,000 on hopes of economic recovery, COVID-19 vaccine",May 26 2020
7,"Italy's records 78 new coronavirus deaths, 397 new cases",May 26 2020
8,"UPDATE 3-Italy's bond yields hit seven-week low, Bund yields at one-month high",May 26 2020
9,REFILE-UPDATE 1-Global airlines body raises alarm over bailout debts,May 26 2020
0,"UPDATE 4-Scotiabank profit drops 41%, more bad loans seen but stock still jumps",May 26 2020
1,FOREX-Dollar dented as risk appetite ramps up,May 26 2020
2,Brazil FDI collapse in April likely reflects deals on hold - cenbank director,May 26 2020
3,"GLOBAL MARKETS-Stocks rally, S&P 500 crosses 3000 barrier; oil gains",May 26 2020
4,NYSE trading floor partially reopens after coronavirus closure,May 26 2020
5,UPDATE 2-Sterling rises to two-week high as dollar weakens,May 26 2020
6,EMERGING MARKETS-Mexican peso hits 10-week high on recovery hopes,May 26 2020
7,"Argentine bonds rise, spreads tighten on restructuring optimism - traders",May 26 2020
8,"UPDATE 1-CEE MARKETS-Zloty hits 10-week peak, leading FX as sentiment rises",May 26 2020
9,"US STOCKS-S&P 500 tops 3,000 pts on hopes of economic recovery, COVID-19 vaccine",May 26 2020
0,Hedge Fund Angelo Gordon buys Northern Oil & Gas debt,May 26 2020
1,UPDATE 2-J.K. Rowling publishes fairy tale so children can dream in lockdown,May 26 2020
2,U.S. new home sales unexpectedly rise in April,May 26 2020
3,U.S. consumer confidence edges up in May,May 26 2020
4,CANADA STOCKS-Canadian stocks rise as more countries ease lockdowns,May 26 2020
5,"TREASURIES-Yields rise on improving risk appetite, before new supply",May 26 2020
6,U.N. calls meeting to boost pandemic support for developing countries,May 26 2020
7,"US STOCKS SNAPSHOT-S&P 500 breaches 3,000 mark for first time since early March",May 26 2020
8,South Africa's SAA aims to resume domestic flights from mid-June,May 26 2020
9,CANADA STOCKS-Canadian stocks rise as more countries ease lockdowns,May 26 2020
0,CANADA FX DEBT-Canadian dollar rallies to 2-month high as economies reopen,May 26 2020
1,UPDATE 1-Central bank says Russian banking profits fell six-fold in April,May 26 2020
2,"US STOCKS-Wall St set to surge at open on recovery, vaccine hopes",May 26 2020
3,UPDATE 1-Investment bank Moelis in talks to represent Latam bondholders in bankruptcy- source,May 26 2020
4,UPDATE 1-Brazil's Centauro prepares share offer worth up to $173 mln -filing,May 26 2020
5,MEDIA-Ambani prepares Facebook-backed unit for overseas IPO - Bloomberg News,May 26 2020
6,EU frees up export of coronavirus protection equipment,May 26 2020
7,UPDATE 2-Warner Music kicks off $1.8 bln Nasdaq IPO,May 26 2020
8,UAE's NMC Health delays May staff salaries - memo,May 26 2020
9,Israel to provide protection for institutional tech investment,May 26 2020
0,Global airlines slam tit-for-tat quarantine rules,May 26 2020
1,Brazil posts record $3.8 bln current account surplus in April - central bank,May 26 2020
2,Investment bank Moelis in talks to represent Latam bondholders in bankruptcy- source,May 26 2020
3,UPDATE 1-Brazil registers steepest monthly deflation in over quarter of a century,May 26 2020
4,J.K. Rowling to publish free fairy tale for children in lockdown,May 26 2020
5,UPDATE 2-Mexico economy fares better than first estimated at start of 2020,May 26 2020
6,"GLOBAL MARKETS-Europe's travel sector soars, S&P 500 to break 3000 barrier",May 26 2020
7,Macy's announces $1 billion bond offering to repay credit facility,May 26 2020
8,"US STOCKS-S&P 500 futures surge on recovery, vaccine hopes",May 26 2020
9,Hedge funds target France as short-selling bans lifted,May 26 2020
0,Jordan's civil servants return to work after two months break,May 26 2020
1,CANADA STOCKS-TSX futures rise on recovery hopes as lockdowns ease,May 26 2020
2,Covid-19 tests within 24 hours for symptomatic Bavarians - state premier,May 26 2020
3,NYSE to reopen trading floor closed by coronavirus,May 26 2020
4,Warner Music looks to raise $1.82 bln in Nasdaq listing,May 26 2020
5,"FOREX-Euro, riskier currencies buoyed as investor sentiment improves",May 26 2020
6,"US STOCKS-S&P 500 futures top 3,000 points on recovery hopes",May 26 2020
7,UPDATE 3-Coffee looks hot as JDE Peet's aims to raise $2.5 bln in IPO,May 26 2020
8,Scotiabank profit drops 41.5% on higher loan losses,May 26 2020
9,Britain to provide anti-viral drug remdesivir to some COVID-19 patients,May 26 2020
0,U.S. small firms leave $150 billion in coronavirus stimulus untapped,May 26 2020
1,"RPT-'This could be the one that gets me,' says oilfield service veteran",May 26 2020
2,"Southern European sovereign, junk debt CDS fall on broad market rally",May 26 2020
3,"UPDATE 2-UK COVID-19 death toll tops 47,000 as pressure heaps on PM Johnson",May 26 2020
4,"UPDATE 4-Facing biggest downturn, Singapore's virus relief reaches 20% of GDP",May 26 2020
5,CORRECTED-UPDATE 2-JDE Peet's IPO values coffee maker at up to $17.5 bln,May 26 2020
6,"GLOBAL MARKETS-Shares reach 10-week high, S&P 500 eyeing 3000",May 26 2020
7,"CEE MARKETS-Zloty at new 2-month peak, forint up ahead of central bank",May 26 2020
8,"UK COVID-19 death toll tops 47,000, new data shows",May 26 2020
9,Sterling rises versus weaker dollar; UK sets out plans to re-open shops,May 26 2020
0,"FOREX-Euro, riskier currencies buoyed as investor sentiment improves",May 26 2020
1,Italy/German 10-year bond yield gap below 200 bps for first time since mid-April,May 26 2020
2,RPT-Nordic investors turn up heat on coal in climate campaign,May 26 2020
3,"European shares near 11-week high, UK stocks surge",May 26 2020
4,German Bund yield rises to one-week high as world sentiment rebounds,May 26 2020
5,"Forget propping up the bar in the pub for a bit, UK's Gove says",May 26 2020
6,Frozen UK property funds face existential crisis,May 26 2020
7,JGBs edge lower as investors worry over government debt issuance,May 26 2020
8,"U.S. stock futures rise 2% to 3,012 pts",May 26 2020
9,UK's Gove defends PM's adviser Cummings: he's a man of honour and integrity,May 26 2020
0,UPDATE 2-Australian PM calls for economic overhaul to fuel post-coronavirus recovery,May 26 2020
1,Indicative IPO price values JDE Peet's at up to 16 bln euros,May 26 2020
2,"GLOBAL MARKETS-Japan shares scale 10-wk peak, S&P 500 up sharply",May 26 2020
3,"UPDATE 1-China says banks' bad loans high due to virus, credit risks grow",May 26 2020
4,PRESS DIGEST- Wall Street Journal - May 26,May 26 2020
5,"German consumer morale improves slightly, job fears remain high - GfK",May 26 2020
6,German export hopes recover somewhat in May after 'catastrophic' April,May 26 2020
7,"GLOBAL MARKETS-Japan shares scale 10-wk peak, S&P 500 breaks 3,000 barrier",May 26 2020
8,Uber-rival Bolt raises 100 mln euros,May 26 2020
9,"'This could be the one that gets me,' says oilfield service veteran",May 26 2020
0,Chile's LATAM Airlines files for U.S. Chapter 11 bankruptcy protection,May 26 2020
1,FOREX-Dollar dips as pandemic recovery hopes buoy risk assets,May 26 2020
2,"China says banks' bad loans at high level due to virus, credit risks accumulate - statement",May 26 2020
3,"REFILE-UPDATE 1-China to strengthen policy, lower lending rates-PBOC Gov",May 26 2020
4,BOJ's Kuroda says life may not return to pre-pandemic ways,May 25 2020
5,"Australia's borders will not open ""anytime soon"": PM Morrison",May 25 2020
6,"Morning News Call - India, May 26",May 25 2020
7,BOJ's Kuroda says ready to ease more including via new steps,May 25 2020
8,"GLOBAL MARKETS-Japan shares hit 10-week peak, S&P 500 tests 3,000",May 25 2020
9,Chile's Latam Airlines Group hires PJT Partners to restructure debt- report,May 25 2020
0,FOREX-Dollar dips as virus recovery optimism holds,May 25 2020
1,"China to strengthen policy adjustments, guide loan rates lower-PBOC Gov",May 25 2020
2,"GLOBAL MARKETS-Japan shares reach 10-week high, look past Sino-US tension",May 25 2020
3,Singapore cuts 2020 GDP forecast for third time on virus outbreak,May 25 2020
4,UPDATE 2-Argentina's Buenos Aires province extends bond revamp deadline to June 5,May 25 2020
5,Argentina's Buenos Aires province extends bond revamp deadline to June 5,May 25 2020
6,UPDATE 5-Germany stamps authority on Lufthansa with $9.8 bln lifeline,May 25 2020
7,CANADA STOCKS-Canada's TSX gains more than 1% as financial shares climb,May 25 2020
8,CANADA FX DEBT-Canadian dollar edges higher along with gains for global stocks,May 25 2020
9,UPDATE 1-Mexico posts largest trade deficit on record as exports collapse,May 25 2020
0,"EMERGING MARKETS-Latam stocks at 10-week high, FX rallies",May 25 2020
1,"UPDATE 5-With suitcase and bikini emojis, Spain urges tourists back from July",May 25 2020
2,UPDATE 1-Bank of Canada head: inflation could return to target more slowly,May 25 2020
3,Merkel's conservatives want stimulus package to include tax relief - document,May 25 2020
4,UPDATE 3-French billionaires raise stakes in defence of publisher Lagardere,May 25 2020
5,Canada's TC Energy completes Coastal GasLink pipeline stake sale,May 25 2020
6,South African Airways administrators can appeal layoff ruling - court,May 25 2020
7,UPDATE 2-German stocks outperform Europe as business morale rebounds,May 25 2020
8,"Italy reports 92 coronavirus deaths on Monday, just 300 new infections",May 25 2020
9,"GLOBAL MARKETS-German sentiment survey boosts stocks, Europe focuses on recovery fund",May 25 2020
0,UPDATE 2-Italian bond yields fall to six-week low; focus on recovery fund,May 25 2020
1,"EMERGING MARKETS-Latam FX, stocks rally on economic recovery hopes",May 25 2020
2,French carmaker Renault could close plants and cut jobs -union,May 25 2020
3,UPDATE 1-Intesa expected to give preliminary green light to state-backed loan for FCA -source,May 25 2020
4,"UPDATE 1-Bank of Israel leaves rates unchanged, sees less economic damage in 2020",May 25 2020
5,CANADA STOCKS-TSX gains on hopes of economic recovery,May 25 2020
6,CANADA FX DEBT-Canadian dollar sticks to tight range ahead of Poloz speech,May 25 2020
7,Intesa expected to approve state-backed loan for FCA -source,May 25 2020
8,CANADA STOCKS-TSX opens higher on hopes of economic recovery,May 25 2020
9,"Bars, gyms reopen as Iceland exits emergency coronavirus alert",May 25 2020
0,FOREX-Euro steadies in a big week for Europe's policymakers,May 25 2020
1,"GLOBAL MARKETS-German survey fuels stock gains, euro investors eye EU summit",May 25 2020
2,EU must present united front to shield pandemic-hit banks -regulator,May 25 2020
3,"Australian economy must come off COVID-19 'life support', PM to say",May 25 2020
4,Talks on Lufthansa aid not concluded yet -ministry,May 25 2020
5,CANADA STOCKS-TSX futures rise on optimism as economies reopen,May 25 2020
6,"UPDATE 6-Japan lifts Tokyo's state of emergency, eyes fresh stimulus",May 25 2020
7,"CORRECTED-TABLE-Holdings of SPDR Gold unchanged, iShares Silver rise (May 22)",May 25 2020
8,German labour agency expects deficit of 30.5 bln eur this year - Handelsblatt,May 25 2020
9,CEE MARKETS-Currencies mixed as investors await central bank meetings,May 25 2020
0,GLOBAL MARKETS-Stocks gain as German survey fuels optimism; dollar firm,May 25 2020
1,TABLE-Dutch adjusted unemployment 3.4% in April,May 25 2020
2,UPDATE 1-German business morale rebounds in May as corona restrictions are eased,May 25 2020
3,Nordic Capital to buy Swedish insurer Max Matthiessen from Willis Towers Watson,May 25 2020
4,German economy starting to see light at end of tunnel - Ifo economist,May 25 2020
5,German business morale recovers in May as corona restrictions are eased,May 25 2020
6,FOREX-U.S-China tensions boost dollar after weekly loss,May 25 2020
7,"UPDATE 1-French crisis measures have cost 450 bln euros, finance minister says",May 25 2020
8,"European shares rise in thin trading, Bayer jumps",May 25 2020
9,Euro zone bond yields steady; focus remains on recovery fund,May 25 2020
0,French government's crisis measures have cost 450 bln euros - finance minister,May 25 2020
1,"GLOBAL MARKETS-Hong Kong shares ease on China-U.S. rift, dollar firms",May 25 2020
2,"UPDATE 1-Slump in consumption, exports push Germany into recession in Q1",May 25 2020
3,"Slump in consumption, exports push Germany into recession in Q1",May 25 2020
4,FOREX-Dollar on front foot as worries about Hong Kong stir risk aversion,May 25 2020
5,Nordic investors turn up heat on coal in climate campaign,May 25 2020
6,JGBs edge down as Japan set to lift coronavirus emergency,May 25 2020
7,UPDATE 1-China's pork imports in April jump 170% to record high,May 25 2020
8,New Zealand eases coronavirus curbs on public gatherings,May 25 2020
9,China's pork imports in April jump 170% to record high,May 24 2020
0,"GLOBAL MARKETS-Asian shares reverse early gains, eyes on China-U.S. trade relations",May 24 2020
1,FOREX-Dollar holds advantage as Hong Kong tensions test risk-wary investors,May 24 2020
2,PRESS DIGEST-Financial Times - May 25,May 24 2020
3,"Trudeau asks bank CEOs for views on economy, COVID-19 relief- Globe and Mail",May 24 2020
4,China lowers yuan midpoint to weakest since 2008 global financial crisis,May 24 2020
5,PRESS DIGEST-British Business - May 25,May 24 2020
6,"GLOBAL MARKETS-Asian shares tick up, eyes on China-U.S. trade relations",May 24 2020
7,FOREX-Dollar edges higher as Hong Kong tensions fuel safe-haven demand,May 24 2020
8,Japan eyeing second extra budget worth over $929 bln - Nikkei,May 24 2020
9,"UPDATE 2-Aston Martin chief to leave, Mercedes-AMG CEO to replace him - source",May 24 2020
0,UK PM's adviser has been reported to police over lockdown journey- Daily Mirror,May 24 2020
1,"UK government ""bleeding credibility"" over PM's aide, says cabinet member-ITV",May 24 2020
2,UK PM Johnson says adviser's lockdown drive was understandable,May 24 2020
3,UK PM Johnson says plans on some pupils returning to primary school on June 1,May 24 2020
4,UK PM Johnson stands by senior adviser Cummings over lockdown drive,May 24 2020
5,Italy's daily coronavirus death toll drops but Lombardy not included,May 24 2020
6,UK's Johnson to lead coronavirus news conference as adviser's future hangs in balance,May 24 2020
7,"CORRECTED-UPDATE 4-China drops mention of GDP goal as parliament opens, virus slams economy",May 24 2020
8,"CORRECTED-China omits GDP goal, pledges higher spending",May 24 2020
9,RPT-UPDATE 1-Wall St Week Ahead-Investors look beyond drug makers as hunt for Covid-19 treatment heats up,May 24 2020
0,REFILE-Franco-German 500 bln euro recovery fund step towards EU fiscal union-Centeno,May 24 2020
1,UPDATE 1-Xi says China could have set GDP growth goal around 6% had there been no coronavirus,May 24 2020
2,Xi says China could have set GDP growth goal around 6% had there been no coronavirus,May 24 2020
3,Turkey hikes tax on FX transactions to 1% from 0.2% -Official Gazette,May 24 2020
4,UK PM Johnson to update the public on coronavirus,May 23 2020
5,UK police spoke to father of PM's adviser Cummings - Mirror,May 23 2020
6,British lawmaker says UK must defend its companies against overseas takeovers - FT,May 23 2020
7,UK PM's adviser Cummings made second 400 km trip during lockdown - Daily Mirror,May 23 2020
8,UK PM Johnson's adviser Cummings says he will 'obviously not' resign,May 23 2020
9,UK's Labour Party calls for inquiry into PM adviser's lockdown trip,May 23 2020
0,"Italy's daily coronavirus death toll dips, new cases steady",May 23 2020
1,UK PM Johnson gives adviser Cummings his 'full support',May 23 2020
2,"UK COVID-19 death toll rises 282 to 36,675",May 23 2020
3,eSwatini cuts rates further in response to virus,May 23 2020
4,UK says PM's adviser Cummings did not break lockdown guidelines,May 23 2020
5,UPDATE 2-UK to require employers to pay 20-30% of furloughed wage cost - The Times,May 23 2020
6,UK to require employers to pay 20-30% of furloughed wage cost - The Times,May 23 2020
7,UPDATE 1-Hertz files for U.S. bankruptcy protection as car rentals evaporate in pandemic,May 22 2020
8,Hertz files for U.S. bankruptcy protection as car rentals evaporate in pandemic,May 22 2020
9,"UPDATE 1-Brazil sells 18 bln reais short-term debt, biggest sale this year",May 22 2020
0,Blackstone's EagleClaw Midstream sues Caprock over troubled deal,May 22 2020
1,UPDATE 1-Hertz preparing to file for bankruptcy as soon as Friday night- WSJ,May 22 2020
2,Hertz preparing to file for bankruptcy as soon as Friday night- WSJ,May 22 2020
3,UPDATE 5-UK to introduce quarantine for international arrivals from June 8,May 22 2020
4,"UPDATE 2-Brazil revises 2020 deficit, debt forecasts to record levels as crisis deepens",May 22 2020
5,Sculptor credit funds draw cash after deep March losses -source,May 22 2020
6,UPDATE 1-Wall St Week Ahead-Investors look beyond drug makers as hunt for Covid-19 treatment heats up,May 22 2020
7,Brazil debt to hit record 93.5% of GDP this year -Economy Ministry,May 22 2020
8,UK PM Johnson's close aide Cummings broke lockdown rules - newspapers,May 22 2020
9,Brazil 2020 central govt primary deficit to exceed 566.6 bln reais -official,May 22 2020
0,"GLOBAL MARKETS-Hong Kong tensions rattle world stock markets, oil tumbles",May 22 2020
1,EMERGING MARKETS-Most Latam FX fall as U.S.-China trade worries rise,May 22 2020
2,US STOCKS-Wall Street ends mixed as China-U.S. tensions weigh,May 22 2020
3,US STOCKS-Wall Street ends mixed as China-U.S. tensions weigh,May 22 2020
4,Brazil broad public sector deficit on course for 10% of GDP - Treasury Secretary,May 22 2020
5,"UPDATE 1-U.S. charges ousted Hollywood exec with defrauding pandemic loan program, BlackRock fund",May 22 2020
6,UPDATE 3-Argentina defaults on bond payments as debt talks heat up,May 22 2020
7,TREASURIES-Yields fall as Hong Kong tension drives investors to safety,May 22 2020
8,"FOREX-Fresh U.S.-China tensions lift dollar; euro, offshore yuan slip",May 22 2020
9,Irish regulator reaches preliminary decision in Twitter privacy probe,May 22 2020
0,UPDATE 2-All 50 U.S. states shed jobs in April -Labor Department,May 22 2020
1,"GLOBAL MARKETS-Hong Kong tensions unnerve world stock markets, oil tumbles",May 22 2020
2,CANADA FX DEBT-C$ pares weekly gain as U.S.-China tensions strain risk appetite,May 22 2020
3,U.S. charges Hollywood film distributor with defrauding BlackRock fund,May 22 2020
4,US STOCKS-Wall Street mixed as China-U.S. tensions weigh,May 22 2020
5,Brazil govt revises 2020 primary budget deficit forecast to $97 bln,May 22 2020
6,Organizers cancel 2020 New York auto show,May 22 2020
7,UPDATE 6-China's planned security agencies for Hong Kong a 'death knell' for autonomy -Pompeo,May 22 2020
8,"US STOCKS-Wall St flat amid Sino-U.S. tensions, economic uncertainty",May 22 2020
9,UPDATE 1-New York obtains student loan debt relief fraud settlements,May 22 2020
0,"UPDATE 2-U.S. senators urge Delta, JetBlue to restore employee hours",May 22 2020
1,"UPDATE 2-European stocks flat as U.S.-China woes weigh, but post weekly gain",May 22 2020
2,CORRECTED-BRIEF-Hyatt Files For Shelf Of Up To 13.3 Mln Shares By Selling Stockholders,May 22 2020
3,New York obtains student loan debt relief fraud settlements,May 22 2020
4,ABL providers step up with capital in uncertain environment,May 22 2020
5,Hedge funds increased exposure to growth favorites in first quarter - Goldman,May 22 2020
6,UPDATE 1-Sterling slips against safe-haven dollar,May 22 2020
7,"Italy's daily coronavirus death toll dips, new cases steady",May 22 2020
8,"UPDATE 1-White House adviser says U.S. employment to turn around soon, more stimulus on the way",May 22 2020
9,INSIGHT-How one Indian company could be world's door to a COVID-19 vaccine,May 22 2020
0,UPDATE 2-Italian bond yields set for biggest weekly fall in 8 weeks,May 22 2020
1,CORRECTED-Wall St Week Ahead-Investors look beyond drug makers as hunt for Covid-19 treatment heats up,May 22 2020
2,"FOREX-New U.S.-China tensions boost dollar; euro, offshore yuan fall",May 22 2020
3,US STOCKS-Wall St dips as U.S.-China tensions add to economic woes,May 22 2020
4,Turkey's cenbank increases banks' FX-lira swap limit to 50% -Anadolu,May 22 2020
5,"GLOBAL MARKETS-Hong Kong tensions unnerve world stock markets, oil tumbles",May 22 2020
6,TREASURIES-U.S. yields falter as Hong Kong tension weighs,May 22 2020
7,UPDATE 1-GM delays resumption of second shift at 3 North American truck plants -source,May 22 2020
8,"UPDATE 1-QE, lower-bound rates pose huge risks for Brazil, says central bank director",May 22 2020
9,EMERGING MARKETS-Latam FX weaken on fears of escalation in U.S.-China trade tensions,May 22 2020
0,"US STOCKS-Wall St dips on U.S.-China tensions, economic woes",May 22 2020
1,"CANADA STOCKS-TSX falls as oil weakens, Sino-U.S. tensions rise",May 22 2020
2,GRAPHIC-Take Five: Coronavirus vaccine race is on,May 22 2020
3,"Brazil central bank warns of risks of QE, lower-bound rates - director",May 22 2020
4,White House's Hassett expects June turning point in U.S. employment -CNN,May 22 2020
5,"UPDATE 1-Children with COVID-19 may have lower infectivity than adults, UK scientists say",May 22 2020
6,"CANADA STOCKS-TSX opens lower as energy stocks, U.S.-China tensions weigh",May 22 2020
7,US STOCKS SNAPSHOT-Wall St opens flat on simmering U.S.-China tensions,May 22 2020
8,CANADA FX DEBT-Canadian dollar slides as U.S.-China tensions weigh on oil prices,May 22 2020
9,"UPDATE 1-Canadian retail sales plunge record 10% in March, led by car sales",May 22 2020
0,UPDATE 1-Britain will look at details for G7 summit next month - spokesman,May 22 2020
1,US STOCKS-Wall St set for muted open on simmering U.S.-China tensions,May 22 2020
2,"Children with COVID-19 may be less contagious than adults, UK scientists say",May 22 2020
3,UK PM Johnson could meet U.S. President Trump at G7 - The Sun,May 22 2020
4,Default then deal? Argentina hits payment deadline with distance left in talks,May 22 2020
5,"GLOBAL MARKETS-Hong Kong tensions unnerve world stocks, oil tumbles",May 22 2020
6,UPDATE 1-ECB minutes hint at more policy easing in June,May 22 2020
7,PRESS DIGEST- Canada - May 22,May 22 2020
8,UPDATE 3-EasyJet founder loses bid to oust management in strategy showdown,May 22 2020
9,Lebanon's Berri tells gov't time for action not words,May 22 2020
0,UPDATE 1-Mexico inflation accelerates more than forecast in early May,May 22 2020
1,"REFILE-FOREX-New U.S.-China tensions lift dollar; euro, offshore yuan fall",May 22 2020
2,CANADA STOCKS-TSX futures fall on tumbling oil prices amid U.S.-China trade tensions,May 22 2020
3,China's Burning Rock Biotech files for U.S. IPO,May 22 2020
4,Japanese investors back extra multi-billion dollar bonds to save economy,May 22 2020
5,UPDATE 1-Hong Kong bankers worry that new laws could lead to capital flight,May 22 2020
6,"UPDATE 2-Japan's finmin, c.bank governor vow to use all tools to combat virus fallout",May 22 2020
7,US STOCKS-Futures retreat as Sino-U.S. tensions simmer,May 22 2020
8,UPDATE 2-George Soros says EU may not survive coronavirus crisis,May 22 2020
9,"GLOBAL MARKETS-Hong Kong tensions unnerve world stocks, oil tumbles",May 22 2020
0,"Trapped migrant workers suffer from Lebanon's dollar crisis, lockdown",May 22 2020
1,China sovereign CDS at one-week high after Hong Kong move,May 22 2020
2,"Japan Nishimura: Govt, BOJ work together towards moderate price increase",May 22 2020
3,BOJ can keep yields from rising even if government issues more debt - governor,May 22 2020
4,INSIGHT-U.S. shale bust slams rural economies as oil checks shrivel,May 22 2020
5,Chinese commodities slump as Beijing ditches growth target,May 22 2020
6,Gunvor tests bid for commodity loans,May 22 2020
7,Japan considering 12 trln yen safety net for firms hit by pandemic - Nikkei,May 22 2020
8,"Japan's finance minister, c.bank governor meet on pandemic response",May 22 2020
9,George Soros says coronavirus threatens EU's survival,May 22 2020
0,"Sterling tumbles on record-low retail data, trade tensions",May 22 2020
1,Hong Kong stocks fall most since 2015 as Beijing pushes security law,May 22 2020
2,"REFILE-GLOBAL MARKETS-Tensions over Hong Kong unnerve world stocks, oil tumbles",May 22 2020
3,CORRECTED-German tax revenues fall 25.3% due to coronavirus pandemic,May 22 2020
4,Nobel winner attacks lack of British leadership through COVID-19,May 22 2020
5,Thailand to choose next central bank governor,May 22 2020
6,MORNING BID-A turn for the worse,May 22 2020
7,FOREX-U.S.-China tensions lift dollar 0.3%,May 22 2020
8,Luxury stocks hammered as Chinese trade fears hit Europe,May 22 2020
9,Italian bond yields set for biggest weekly fall in 8 weeks,May 22 2020
0,Banks pursue Luckin Coffee chairman's assets after loan default,May 22 2020
1,"Turkey sees rebounds in capacity utilisation, manufacturing confidence",May 22 2020
2,"UPDATE 4-KKR to invest $1.5 bln in Reliance Industries' digital unit, its biggest deal in Asia",May 22 2020
3,Hong Kong stocks set for worst day since 2015 as Beijing pushes security law,May 22 2020
4,JGBs mixed as U.S.-China tensions heighten,May 22 2020
5,GLOBAL MARKETS-Global stocks skid as Hong Kong returns as Sino-U.S. flashpoint,May 22 2020
6,UK to set out quarantine measures for international arrivals,May 22 2020
7,Bank of England updates its guidance on regulatory capital and IFRS 9,May 22 2020
8,"FOREX-Dollar edges up on rising U.S.-China tension; yuan, other Asian FX fall",May 22 2020
9,Full disclosure? Hedge funds navigate COVID health questions,May 22 2020
0,Hong Kong stocks drop 5% as Beijing pushes security law,May 22 2020
1,PRESS DIGEST-New York Times business news - May 22,May 22 2020
2,UPDATE 2-Japan launches its version of Fed's 'Main Street' scheme as deflation returns,May 22 2020
3,China says it will still pay attention to economic growth rate,May 22 2020
4,REFILE-UPDATE 1-New Zealand discussing 'helicopter money' handouts to stimulate economy,May 22 2020
5,"Morning News Call - India, May 22",May 21 2020
6,FOREX-Dollar holds gains as U.S.-China frictions rattle Asian FX,May 21 2020
7,GLOBAL MARKETS-Hong Kong leads Asian shares lower as Beijing readies new security law,May 21 2020
8,BOJ to offer longer-dated loans under lending scheme to combat pandemic pain,May 21 2020
9,India's Reliance Industries says KKR to invest $1.5 bln in digital  unit,May 21 2020
0,UPDATE 2-Japan's core consumer prices slip into deflation for first time in 3 years,May 21 2020
1,China sets 2020 budget deficit target of at least 3.6% of GDP,May 21 2020
2,"BOJ launches new loan scheme, extends deadline for virus-combating steps by 6 months",May 21 2020
3,China abandons setting 2020 GDP target -Bloomberg,May 21 2020
4,FOREX-Dollar holds gains amid fresh U.S.-China tensions,May 21 2020
5,PRESS DIGEST- British Business - May 22,May 21 2020
6,SoftBank Group's sale of 5% telco unit stake to raise $2.9 bln,May 21 2020
7,PRESS DIGEST- Financial Times - May 22,May 21 2020
8,GLOBAL MARKETS-Asia shares set to fall as Sino-U.S. strains hit confidence,May 21 2020
9,UK PM Johnson orders for plans to end reliance on Chinese imports - The Times,May 21 2020
0,RPT-Japan April core CPI falls 0.2% yr/yr,May 21 2020
1,Next U.S. coronavirus rescue package not too far off -McConnell,May 21 2020
2,UPDATE 3-Argentina extends debt talks deadline as default looms,May 21 2020
3,"CORRECTED-UPDATE 1-Kayne Anderson to consolidate energy PE teams, Chuck Yates to leave - source",May 21 2020
4,UPDATE 9-U.S. secures 300 million doses of potential AstraZeneca COVID-19 vaccine,May 21 2020
5,"UPDATE 1-Brazil to boost aid for informal workers, formal jobless insurance claims surge 76.2%",May 21 2020
6,Argentina pushes deadline for $65 bln debt talks to June 2,May 21 2020
7,UPDATE 1-U.S. senators attempt to advance bill lengthening coronavirus business loan terms,May 21 2020
